short_name_stocks,ticker_stocks_yf,ticker_stocks,secteur_activite,pays_stocks,place_boursiere,capitalisation_boursiere,nom_indice,ticker_indice_yf,nombres_entreprises,ponderation
3I GROUP PLC ORD 73 19/22P,III.L,III,Financial Services,United Kingdom,LSE,25415854080,FTSE 100,^FTSE,100,0.93
ABERDEEN GROUP PLC ORD 13 61/63,ABDN.L,ABDN,Financial Services,United Kingdom,LSE,4430606336,FTSE 100,^FTSE,100,0.16
ADMIRAL GROUP PLC ORD 0.1P,ADM.L,ADM,Financial Services,United Kingdom,LSE,10838187008,FTSE 100,^FTSE,100,0.4
AIRTEL AFRICA PLC ORD USD0.50,AAF.L,AAF,Communication Services,United Kingdom,LSE,12090624000,FTSE 100,^FTSE,100,0.44
ALLIANCE WITAN PLC ORD 2.5P,ALW.L,ALW,Non disponible,Non disponible,LSE,5013831168,FTSE 100,^FTSE,100,0.18
ANGLO AMERICAN PLC ORD USD0.623,AAL.L,AAL,Basic Materials,United Kingdom,LSE,39495045120,FTSE 100,^FTSE,100,1.45
ANTOFAGASTA PLC ORD 5P,ANTO.L,ANTO,Basic Materials,United Kingdom,LSE,36900618240,FTSE 100,^FTSE,100,1.36
ASSOCIATED BRITISH FOODS PLC OR,ABF.L,ABF,Consumer Defensive,United Kingdom,LSE,13489147904,FTSE 100,^FTSE,100,0.5
ASTRAZENECA PLC ORD SHS $0.25,AZN.L,AZN,Healthcare,United Kingdom,LSE,218206322688,FTSE 100,^FTSE,100,8.02
AUTOTRADER GROUP PLC ORD 1P,AUTO.L,AUTO,Communication Services,United Kingdom,LSE,4017969664,FTSE 100,^FTSE,100,0.15
AVIVA PLC ORD 32 17/19P,AV.L,AV,Financial Services,United Kingdom,LSE,19834064896,FTSE 100,^FTSE,100,0.73
BABCOCK INTERNATIONAL GROUP PLC,BAB.L,BAB,Industrials,United Kingdom,LSE,5020623360,FTSE 100,^FTSE,100,0.18
BAE SYSTEMS PLC ORD 2.5P,BA.L,BA,Industrials,United Kingdom,LSE,56753233920,FTSE 100,^FTSE,100,2.09
BARCLAYS PLC ORD 25P,BARC.L,BARC,Financial Services,United Kingdom,LSE,69833711616,FTSE 100,^FTSE,100,2.57
BARRATT REDROW PLC ORD 10P,BTRW.L,BTRW,Consumer Cyclical,United Kingdom,LSE,3875245312,FTSE 100,^FTSE,100,0.14
BEAZLEY PLC ORD 5P,BEZ.L,BEZ,Financial Services,United Kingdom,LSE,7612696576,FTSE 100,^FTSE,100,0.28
BP PLC $0.25,BP.L,BP,Energy,United Kingdom,LSE,71172186112,FTSE 100,^FTSE,100,2.62
BRITISH AMERICAN TOBACCO PLC OR,BATS.L,BATS,Consumer Defensive,United Kingdom,LSE,99516686336,FTSE 100,^FTSE,100,3.66
BRITISH LAND COMPANY PLC ORD 25,BLND.L,BLND,Real Estate,United Kingdom,LSE,4232949504,FTSE 100,^FTSE,100,0.16
BT GROUP PLC ORD 5P,BT-A.L,BT-A,Communication Services,United Kingdom,LSE,18484998144,FTSE 100,^FTSE,100,0.68
BUNZL PLC ORD 32 1/7P,BNZL.L,BNZL,Consumer Defensive,United Kingdom,LSE,8546961920,FTSE 100,^FTSE,100,0.31
BURBERRY GROUP PLC ORD 0.05P,BRBY.L,BRBY,Consumer Cyclical,United Kingdom,LSE,3824563200,FTSE 100,^FTSE,100,0.14
CENTRICA PLC ORD 6 14/81P,CNA.L,CNA,Utilities,United Kingdom,LSE,7674151424,FTSE 100,^FTSE,100,0.28
COCA-COLA EUROPACIFIC PARTNERS ,CCEP.L,CCEP,Consumer Defensive,United Kingdom,LSE,35554996224,FTSE 100,^FTSE,100,1.31
COCA-COLA HBC AG ORD CHF6.70 (C,CCH.L,CCH,Consumer Defensive,Switzerland,LSE,18458451968,FTSE 100,^FTSE,100,0.68
COMPASS GROUP PLC ORD 11 1/20P,CPG.L,CPG,Consumer Cyclical,United Kingdom,LSE,56042323968,FTSE 100,^FTSE,100,2.06
COMPUTACENTER PLC ORD 7 5/9P,CCC.L,CCC,Technology,United Kingdom,LSE,4552671232,FTSE 100,^FTSE,100,0.17
CONVATEC GROUP PLC ORD 10P,CTEC.L,CTEC,Healthcare,United Kingdom,LSE,4291982080,FTSE 100,^FTSE,100,0.16
CRODA INTERNATIONAL PLC ORD 10.,CRDA.L,CRDA,Basic Materials,United Kingdom,LSE,4172262912,FTSE 100,^FTSE,100,0.15
DCC PLC ORD EUR0.25 (CDI),DCC.L,DCC,Energy,Ireland,LSE,5287754240,FTSE 100,^FTSE,100,0.19
DIAGEO PLC ORD 28 101/108P,DGE.L,DGE,Consumer Defensive,United Kingdom,LSE,33465178112,FTSE 100,^FTSE,100,1.23
