short_name_stocks,ticker_stocks_yf,ticker_stocks,secteur_activite,pays_stocks,place_boursiere,capitalisation_boursiere,nom_indice,ticker_indice_yf,nombres_entreprises,ponderation
A.P. Møller - Mærsk A A/S,MAERSK-A.CO,MAERSK-A,Industrials,Denmark,CPH,229177196544.0,OMX Copenhagen 25,^OMXC25,25,5.8
A.P. Møller - Mærsk B A/S,MAERSK-B.CO,MAERSK-B,Industrials,Denmark,CPH,235981570048.0,OMX Copenhagen 25,^OMXC25,25,5.97
Ambu A/S,AMBU-B.CO,AMBU-B,Healthcare,Denmark,CPH,17225211904.0,OMX Copenhagen 25,^OMXC25,25,0.44
Bavarian Nordic A/S,BAVA.CO,BAVA,Healthcare,Denmark,CPH,14287281152.0,OMX Copenhagen 25,^OMXC25,25,0.36
Carlsberg B A/S,CARL-B.CO,CARL-B,Consumer Defensive,Denmark,CPH,119536427008.0,OMX Copenhagen 25,^OMXC25,25,3.03
Coloplast B A/S,COLO-B.CO,COLO-B,Healthcare,Denmark,CPH,87194411008.0,OMX Copenhagen 25,^OMXC25,25,2.21
Danske Bank A/S,DANSKE.CO,DANSKE,Financial Services,Denmark,CPH,287802261504.0,OMX Copenhagen 25,^OMXC25,25,7.29
Demant A/S,DEMANT.CO,DEMANT,Healthcare,Denmark,CPH,57406603264.0,OMX Copenhagen 25,^OMXC25,25,1.45
DSV A/S,DSV.CO,DSV,Industrials,Denmark,CPH,395302993920.0,OMX Copenhagen 25,^OMXC25,25,10.01
Genmab A/S,GMAB.CO,GMAB,Healthcare,Denmark,CPH,111245180928.0,OMX Copenhagen 25,^OMXC25,25,2.82
GN Store Nord A/S,GN.CO,GN,Healthcare,Denmark,CPH,13110953984.0,OMX Copenhagen 25,^OMXC25,25,0.33
ISS A/S,ISS.CO,ISS,Industrials,Denmark,CPH,43600179200.0,OMX Copenhagen 25,^OMXC25,25,1.1
Jyske Bank A/S,JYSK.CO,JYSK,Financial Services,Denmark,CPH,54687154176.0,OMX Copenhagen 25,^OMXC25,25,1.38
NKT A/S,NKT.CO,NKT,Industrials,Denmark,CPH,51953840128.0,OMX Copenhagen 25,^OMXC25,25,1.32
Non disponible,NDA.CO,NDA,Non disponible,Non disponible,YHD,,OMX Copenhagen 25,^OMXC25,25,
Novo Nordisk B A/S,NOVO-B.CO,NOVO-B,Healthcare,Denmark,CPH,1420462260224.0,OMX Copenhagen 25,^OMXC25,25,35.96
Novonesis (Novozymes A/S) B,NSIS-B.CO,NSIS-B,Basic Materials,Denmark,CPH,195909255168.0,OMX Copenhagen 25,^OMXC25,25,4.96
Pandora A/S,PNDORA.CO,PNDORA,Consumer Cyclical,Denmark,CPH,57551609856.0,OMX Copenhagen 25,^OMXC25,25,1.46
Rockwool A/S ser. B,ROCK-B.CO,ROCK-B,Industrials,Denmark,CPH,43579183104.0,OMX Copenhagen 25,^OMXC25,25,1.1
Royal UNIBREW A/S,RBREW.CO,RBREW,Consumer Defensive,Denmark,CPH,21915121664.0,OMX Copenhagen 25,^OMXC25,25,0.55
Non disponible,SYDB.CO,SYDB,Non disponible,Non disponible,Non disponible,,OMX Copenhagen 25,^OMXC25,25,
Tryg A/S,TRYG.CO,TRYG,Financial Services,Denmark,CPH,88788779008.0,OMX Copenhagen 25,^OMXC25,25,2.25
Vestas Wind Systems A/S,VWS.CO,VWS,Industrials,Denmark,CPH,182856269824.0,OMX Copenhagen 25,^OMXC25,25,4.63
Zealand Pharma A/S,ZEAL.CO,ZEAL,Healthcare,Denmark,CPH,20570005504.0,OMX Copenhagen 25,^OMXC25,25,0.52
ORSTED A/S,ORSTED.CO,ORSTED,Utilities,Denmark,CPH,199612481536.0,OMX Copenhagen 25,^OMXC25,25,5.05
