short_name_stocks,ticker_stocks_yf,ticker_stocks,secteur_activite,pays_stocks,place_boursiere,capitalisation_boursiere,nom_indice,ticker_indice_yf,nombres_entreprises,ponderation
"ACS,ACTIVIDADES DE CONSTRUCCION",ACS.MC,ACS,Industrials,Spain,MCE,32737708032,IBEX 35,^IBEX,35,2.76
"ACERINOX, S.A.",ACX.MC,ACX,Basic Materials,Spain,MCE,3914455296,IBEX 35,^IBEX,35,0.33
"AMADEUS IT GROUP, S.A.",AMS.MC,AMS,Technology,Spain,MCE,21743005696,IBEX 35,^IBEX,35,1.83
"ACCIONA, S.A.",ANA.MC,ANA,Industrials,Spain,MCE,14618258432,IBEX 35,^IBEX,35,1.23
CORPORACI...N ACCIONA ENERG...A,ANE.MC,ANE,Utilities,Spain,MCE,7329705984,IBEX 35,^IBEX,35,0.62
BANCO BILBAO VIZCAYA ARGENTARIA,BBVA.MC,BBVA,Financial Services,Spain,MCE,124273623040,IBEX 35,^IBEX,35,10.47
"BANKINTER, S.A.",BKT.MC,BKT,Financial Services,Spain,MCE,13696131072,IBEX 35,^IBEX,35,1.15
"CAIXABANK, S.A.",CABK.MC,CABK,Financial Services,Spain,MCE,88558329856,IBEX 35,^IBEX,35,7.46
"CELLNEX TELECOM, S.A.",CLNX.MC,CLNX,Real Estate,Spain,MCE,17245300736,IBEX 35,^IBEX,35,1.45
"COLONIAL SFL, SOCIMI. S.A.",COL.MC,COL,Real Estate,Spain,MCE,3461860096,IBEX 35,^IBEX,35,0.29
"AENA, S.M.E., S.A.",AENA.MC,AENA,Industrials,Spain,MCE,40530001920,IBEX 35,^IBEX,35,3.42
"ENDESA,S.A.",ELE.MC,ELE,Utilities,Spain,MCE,39767937024,IBEX 35,^IBEX,35,3.35
"ENAGAS,S.A.",ENG.MC,ENG,Utilities,Spain,MCE,4360364032,IBEX 35,^IBEX,35,0.37
"FLUIDRA, S.A.",FDR.MC,FDR,Consumer Cyclical,Spain,MCE,3790045184,IBEX 35,^IBEX,35,0.32
FERROVIAL N.V.,FER.MC,FER,Industrials,Netherlands,MCE,42468823040,IBEX 35,^IBEX,35,3.58
GRIFOLS S.A.,GRF.MC,GRF,Healthcare,Spain,MCE,6159243776,IBEX 35,^IBEX,35,0.52
INTL CONSOLIDATED AIRLINES GROU,IAG.MC,IAG,Industrials,United Kingdom,MCE,24555116544,IBEX 35,^IBEX,35,2.07
ACCIONES IBERDROLA,IBE.MC,IBE,Utilities,Spain,MCE,141626982400,IBEX 35,^IBEX,35,11.94
"INDRA SISTEMAS S.A., SERIE A",IDR.MC,IDR,Technology,Spain,MCE,8950420480,IBEX 35,^IBEX,35,0.75
INDUSTRIA DE DISE...O TEXTIL S.,ITX.MC,ITX,Consumer Cyclical,Spain,MCE,175531622400,IBEX 35,^IBEX,35,14.79
COMPA...IA DE DISTRIBUCION INTE,LOG.MC,LOG,Industrials,Spain,MCE,4490312704,IBEX 35,^IBEX,35,0.38
"MAPFRE, S.A.",MAP.MC,MAP,Financial Services,Spain,MCE,13505501184,IBEX 35,^IBEX,35,1.14
"MERLIN PROPERTIES SOCIMI, S.A.",MRL.MC,MRL,Real Estate,Spain,MCE,9465867264,IBEX 35,^IBEX,35,0.8
ARCELORMITTAL SA,MTS.MC,MTS,Basic Materials,Luxembourg,MCE,40868253696,IBEX 35,^IBEX,35,3.44
"NATURGY ENERGY GROUP, S.A.",NTGY.MC,NTGY,Utilities,Spain,MCE,25383184384,IBEX 35,^IBEX,35,2.14
"PUIG BRANDS, S.A. CLASE B",PUIG.MC,PUIG,Consumer Defensive,Spain,MCE,16033751040,IBEX 35,^IBEX,35,1.35
"REDEIA CORPORACION, S.A.",RED.MC,RED,Utilities,Spain,MCE,8103872512,IBEX 35,^IBEX,35,0.68
"REPSOL,  S.A.",REP.MC,REP,Energy,Spain,MCE,24562022400,IBEX 35,^IBEX,35,2.07
LABORATORIOS FARMACEUTICOS ROVI,ROVI.MC,ROVI,Healthcare,Spain,MCE,2941095936,IBEX 35,^IBEX,35,0.25
BANCO DE SABADELL,SAB.MC,SAB,Financial Services,Spain,MCE,15347463168,IBEX 35,^IBEX,35,1.29
BANCO SANTANDER S.A.,SAN.MC,SAN,Financial Services,Spain,MCE,175965978624,IBEX 35,^IBEX,35,14.83
"SACYR, S.A.",SCYR.MC,SCYR,Industrials,Spain,MCE,3739494400,IBEX 35,^IBEX,35,0.32
SOLARIA ENERGIA Y MEDIO AMBIENT,SLR.MC,SLR,Utilities,Spain,MCE,2616287744,IBEX 35,^IBEX,35,0.22
"TELEFONICA,S.A.",TEF.MC,TEF,Communication Services,Spain,MCE,19811643392,IBEX 35,^IBEX,35,1.67
"UNICAJA BANCO, S.A.",UNI.MC,UNI,Financial Services,Spain,MCE,8305560064,IBEX 35,^IBEX,35,0.7
