short_name_stocks,ticker_stocks_yf,ticker_stocks,secteur_activite,pays_stocks,place_boursiere,capitalisation_boursiere,nom_indice,ticker_indice_yf,nombres_entreprises,ponderation
LVMH,MC.PA,MC,Consumer Cyclical,France,PAR,237369753600,STOXX 50,^STOXX50E,50,4.1
SAP SE                        I,SAP.DE,SAP,Technology,Germany,GER,164485726208,STOXX 50,^STOXX50E,50,2.84
HERMES INTL,RMS.PA,RMS,Consumer Cyclical,France,PAR,167059996672,STOXX 50,^STOXX50E,50,2.89
ASML HOLDING,ASML.AS,ASML,Technology,Netherlands,AMS,632701648896,STOXX 50,^STOXX50E,50,10.93
L'OREAL,OR.PA,OR,Consumer Defensive,France,PAR,202498031616,STOXX 50,^STOXX50E,50,3.5
INDUSTRIA DE DISE...O TEXTIL S.,ITX.MC,ITX,Consumer Cyclical,Spain,MCE,173557202944,STOXX 50,^STOXX50E,50,3.0
SIEMENS AG                    N,SIE.DE,SIE,Industrials,Germany,GER,208572186624,STOXX 50,^STOXX50E,50,3.6
DEUTSCHE TELEKOM AG           N,DTE.DE,DTE,Communication Services,Germany,GER,117515575296,STOXX 50,^STOXX50E,50,2.03
SCHNEIDER ELECTRIC SE,SU.PA,SU,Industrials,France,PAR,155581382656,STOXX 50,^STOXX50E,50,2.69
AIRBUS SE,AIR.PA,AIR,Industrials,Netherlands,PAR,156044361728,STOXX 50,^STOXX50E,50,2.7
SANOFI,SAN.PA,SAN,Healthcare,France,PAR,87432413184,STOXX 50,^STOXX50E,50,1.51
TOTALENERGIES,TTE.PA,TTE,Energy,France,PAR,146549080064,STOXX 50,^STOXX50E,50,2.53
Allianz SE                    v,ALV.DE,ALV,Financial Services,Germany,GER,157062447104,STOXX 50,^STOXX50E,50,2.71
ESSILORLUXOTTICA,EL.PA,EL,Healthcare,France,PAR,79616622592,STOXX 50,^STOXX50E,50,1.38
SAFRAN,SAF.PA,SAF,Industrials,France,PAR,145241735168,STOXX 50,^STOXX50E,50,2.51
AIR LIQUIDE,AI.PA,AI,Basic Materials,France,PAR,112103489536,STOXX 50,^STOXX50E,50,1.94
AB INBEV,ABI.BR,ABI,Consumer Defensive,Belgium,BRU,137717989376,STOXX 50,^STOXX50E,50,2.38
PROSUS,PRX.AS,PRX,Consumer Cyclical,Netherlands,AMS,81927987200,STOXX 50,^STOXX50E,50,1.42
