short_name_stocks,ticker_stocks_yf,ticker_stocks,secteur_activite,pays_stocks,place_boursiere,capitalisation_boursiere,nom_indice,ticker_indice_yf,nombres_entreprises,ponderation
ACCOR,AC.PA,AC,Consumer Cyclical,France,PAR,11919753216.0,CAC 40,^FCHI,41,0.47
AIR LIQUIDE,AI.PA,AI,Basic Materials,France,PAR,113362509824.0,CAC 40,^FCHI,41,4.49
AIRBUS SE,AIR.PA,AIR,Industrials,Netherlands,PAR,158193483776.0,CAC 40,^FCHI,41,6.26
Non disponible,MT.PA,MT,Non disponible,Non disponible,YHD,,CAC 40,^FCHI,41,
AXA,CS.PA,CS,Financial Services,France,PAR,89058304000.0,CAC 40,^FCHI,41,3.53
BNP PARIBAS ACT.A,BNP.PA,BNP,Financial Services,France,PAR,112231071744.0,CAC 40,^FCHI,41,4.44
BOUYGUES,EN.PA,EN,Industrials,France,PAR,18238181376.0,CAC 40,^FCHI,41,0.72
BUREAU VERITAS,BVI.PA,BVI,Industrials,France,PAR,11897054208.0,CAC 40,^FCHI,41,0.47
CAPGEMINI,CAP.PA,CAP,Technology,France,PAR,15058341888.0,CAC 40,^FCHI,41,0.6
CARREFOUR,CA.PA,CA,Consumer Defensive,France,PAR,11512867840.0,CAC 40,^FCHI,41,0.46
CREDIT AGRICOLE,ACA.PA,ACA,Financial Services,France,PAR,53675470848.0,CAC 40,^FCHI,41,2.13
DANONE,BN.PA,BN,Consumer Defensive,France,PAR,47028547584.0,CAC 40,^FCHI,41,1.86
DASSAULT SYSTEMES,DSY.PA,DSY,Technology,France,PAR,23980386304.0,CAC 40,^FCHI,41,0.95
EIFFAGE,FGR.PA,FGR,Industrials,France,PAR,12387200000.0,CAC 40,^FCHI,41,0.49
ENGIE,ENGI.PA,ENGI,Utilities,France,PAR,68122447872.0,CAC 40,^FCHI,41,2.7
ESSILORLUXOTTICA,EL.PA,EL,Healthcare,France,PAR,79716130816.0,CAC 40,^FCHI,41,3.16
EUROFINS SCIENT.,ERF.PA,ERF,Healthcare,Luxembourg,PAR,11846165504.0,CAC 40,^FCHI,41,0.47
EURONEXT,ENX.PA,ENX,Financial Services,Netherlands,PAR,14402471936.0,CAC 40,^FCHI,41,0.57
HERMES INTL,RMS.PA,RMS,Consumer Cyclical,France,PAR,169626124288.0,CAC 40,^FCHI,41,6.72
KERING,KER.PA,KER,Consumer Cyclical,France,PAR,30305372160.0,CAC 40,^FCHI,41,1.2
LEGRAND,LR.PA,LR,Industrials,France,PAR,37366435840.0,CAC 40,^FCHI,41,1.48
L'OREAL,OR.PA,OR,Consumer Defensive,France,PAR,204015386624.0,CAC 40,^FCHI,41,8.08
LVMH,MC.PA,MC,Consumer Cyclical,France,PAR,242773508096.0,CAC 40,^FCHI,41,9.61
MICHELIN,ML.PA,ML,Non disponible,Non disponible,PAR,0.0,CAC 40,^FCHI,41,0.0
ORANGE,ORA.PA,ORA,Communication Services,France,PAR,42375282688.0,CAC 40,^FCHI,41,1.68
PERNOD RICARD,RI.PA,RI,Consumer Defensive,France,PAR,15929187328.0,CAC 40,^FCHI,41,0.63
PUBLICIS GROUPE SA,PUB.PA,PUB,Communication Services,France,PAR,20926459904.0,CAC 40,^FCHI,41,0.83
RENAULT,RNO.PA,RNO,Consumer Cyclical,France,PAR,7553239552.0,CAC 40,^FCHI,41,0.3
SAFRAN,SAF.PA,SAF,Industrials,France,PAR,146570035200.0,CAC 40,^FCHI,41,5.8
SAINT GOBAIN,SGO.PA,SGO,Industrials,France,PAR,38778880000.0,CAC 40,^FCHI,41,1.54
SANOFI,SAN.PA,SAN,Healthcare,France,PAR,88832770048.0,CAC 40,^FCHI,41,3.52
SCHNEIDER ELECTRIC SE,SU.PA,SU,Industrials,France,PAR,154528415744.0,CAC 40,^FCHI,41,6.12
SOCIETE GENERALE,GLE.PA,GLE,Financial Services,France,PAR,56424407040.0,CAC 40,^FCHI,41,2.23
STELLANTIS NV,STLAP.PA,STLAP,Consumer Cyclical,Netherlands,PAR,14861318144.0,CAC 40,^FCHI,41,0.59
STMICROELECTRONICS,STMPA.PA,STMPA,Technology,Netherlands,PAR,55354097664.0,CAC 40,^FCHI,41,2.19
THALES,HO.PA,HO,Industrials,France,PAR,48534728704.0,CAC 40,^FCHI,41,1.92
TOTALENERGIES,TTE.PA,TTE,Energy,France,PAR,147238273024.0,CAC 40,^FCHI,41,5.83
UNIBAIL-RODAMCO-WESTFIELD,URW.PA,URW,Real Estate,France,PAR,14782233600.0,CAC 40,^FCHI,41,0.59
VEOLIA ENVIRON.,VIE.PA,VIE,Industrials,France,PAR,26359803904.0,CAC 40,^FCHI,41,1.04
VINCI,DG.PA,DG,Industrials,France,PAR,69089386496.0,CAC 40,^FCHI,41,2.74
ARCELORMITTAL SA,MT.AS,MT,Basic Materials,Luxembourg,AMS,40822861824.0,CAC 40,^FCHI,41,1.62
