short_name_stocks,ticker_stocks_yf,ticker_stocks,secteur_activite,pays_stocks,place_boursiere,capitalisation_boursiere,nom_indice,ticker_indice_yf,nombres_entreprises,ponderation
A2A,A2A.MI,A2A,Utilities,Italy,MIL,7110914048,FTSE MIB Index,FTSEMIB.MI,40,0.68
AMPLIFON,AMP.MI,AMP,Healthcare,Italy,MIL,2645589760,FTSE MIB Index,FTSEMIB.MI,40,0.25
AVIO,AVIO.MI,AVIO,Industrials,Italy,MIL,1486791168,FTSE MIB Index,FTSEMIB.MI,40,0.14
AZIMUT,AZM.MI,AZM,Financial Services,Italy,MIL,5156532736,FTSE MIB Index,FTSEMIB.MI,40,0.5
BANCA MEDIOLANUM,BMED.MI,BMED,Financial Services,Italy,MIL,16516299776,FTSE MIB Index,FTSEMIB.MI,40,1.59
BANCA MONTE PASCHI SIENA,BMPS.MI,BMPS,Financial Services,Italy,MIL,33513752576,FTSE MIB Index,FTSEMIB.MI,40,3.22
BANCO BPM,BAMI.MI,BAMI,Financial Services,Italy,MIL,23050074112,FTSE MIB Index,FTSEMIB.MI,40,2.22
BPER BANCA,BPE.MI,BPE,Financial Services,Italy,MIL,28961064960,FTSE MIB Index,FTSEMIB.MI,40,2.78
BRUNELLO CUCINELLI,BC.MI,BC,Consumer Cyclical,Italy,MIL,5624960000,FTSE MIB Index,FTSEMIB.MI,40,0.54
BUZZI,BZU.MI,BZU,Basic Materials,Italy,MIL,8022608896,FTSE MIB Index,FTSEMIB.MI,40,0.77
CAMPARI,CPR.MI,CPR,Consumer Defensive,Italy,MIL,6502213632,FTSE MIB Index,FTSEMIB.MI,40,0.63
DIASORIN,DIA.MI,DIA,Healthcare,Italy,MIL,3448117760,FTSE MIB Index,FTSEMIB.MI,40,0.33
ENEL,ENEL.MI,ENEL,Utilities,Italy,MIL,99768492032,FTSE MIB Index,FTSEMIB.MI,40,9.59
ENI,ENI.MI,ENI,Energy,Italy,MIL,59357270016,FTSE MIB Index,FTSEMIB.MI,40,5.71
FERRARI,RACE.MI,RACE,Consumer Cyclical,Italy,MIL,58277527552,FTSE MIB Index,FTSEMIB.MI,40,5.6
FINCANTIERI,FCT.MI,FCT,Industrials,Italy,MIL,3824598784,FTSE MIB Index,FTSEMIB.MI,40,0.37
FINECOBANK,FBK.MI,FBK,Financial Services,Italy,MIL,13668040704,FTSE MIB Index,FTSEMIB.MI,40,1.31
GENERALI,G.MI,G,Financial Services,Italy,MIL,64042819584,FTSE MIB Index,FTSEMIB.MI,40,6.16
HERA,HER.MI,HER,Utilities,Italy,MIL,5455198720,FTSE MIB Index,FTSEMIB.MI,40,0.52
INTESA SANPAOLO,ISP.MI,ISP,Financial Services,Italy,MIL,106594336768,FTSE MIB Index,FTSEMIB.MI,40,10.25
INWIT,INW.MI,INW,Real Estate,Italy,MIL,5857337344,FTSE MIB Index,FTSEMIB.MI,40,0.56
ITALGAS,IG.MI,IG,Utilities,Italy,MIL,10351364096,FTSE MIB Index,FTSEMIB.MI,40,1.0
IVECO GROUP,IVG.MI,IVG,Industrials,Italy,MIL,3715537920,FTSE MIB Index,FTSEMIB.MI,40,0.36
LEONARDO,LDO.MI,LDO,Industrials,Italy,MIL,29397618688,FTSE MIB Index,FTSEMIB.MI,40,2.83
LOTTOMATICA GROUP,LTMC.MI,LTMC,Consumer Cyclical,Italy,MIL,5872507392,FTSE MIB Index,FTSEMIB.MI,40,0.56
MEDIOBANCA,MB.MI,MB,Financial Services,Italy,MIL,21324767232,FTSE MIB Index,FTSEMIB.MI,40,2.05
MONCLER,MONC.MI,MONC,Consumer Cyclical,Italy,MIL,13865843712,FTSE MIB Index,FTSEMIB.MI,40,1.33
NEXI,NEXI.MI,NEXI,Technology,Italy,MIL,4351210496,FTSE MIB Index,FTSEMIB.MI,40,0.42
POSTE ITALIANE,PST.MI,PST,Industrials,Italy,MIL,38012723200,FTSE MIB Index,FTSEMIB.MI,40,3.65
PRYSMIAN,PRY.MI,PRY,Industrials,Italy,MIL,41411067904,FTSE MIB Index,FTSEMIB.MI,40,3.98
RECORDATI ORD,REC.MI,REC,Healthcare,Italy,MIL,10442734592,FTSE MIB Index,FTSEMIB.MI,40,1.0
SAIPEM,SPM.MI,SPM,Energy,Italy,MIL,8399483904,FTSE MIB Index,FTSEMIB.MI,40,0.81
SNAM,SRG.MI,SRG,Utilities,Italy,MIL,20966985728,FTSE MIB Index,FTSEMIB.MI,40,2.02
STELLANTIS,STLAM.MI,STLAM,Consumer Cyclical,Netherlands,MIL,14872907776,FTSE MIB Index,FTSEMIB.MI,40,1.43
STMICROELECTRONICS,STMMI.MI,STMMI,Technology,Netherlands,MIL,55594070016,FTSE MIB Index,FTSEMIB.MI,40,5.34
TELECOM ITALIA,TIT.MI,TIT,Communication Services,Italy,MIL,17373526016,FTSE MIB Index,FTSEMIB.MI,40,1.67
TENARIS,TEN.MI,TEN,Energy,Luxembourg,MIL,24100102144,FTSE MIB Index,FTSEMIB.MI,40,2.32
TERNA,TRN.MI,TRN,Utilities,Italy,MIL,20388659200,FTSE MIB Index,FTSEMIB.MI,40,1.96
UNICREDIT,UCG.MI,UCG,Financial Services,Italy,MIL,122379296768,FTSE MIB Index,FTSEMIB.MI,40,11.76
UNIPOL,UNI.MI,UNI,Financial Services,Italy,MIL,18503849984,FTSE MIB Index,FTSEMIB.MI,40,1.78
