short_name_stocks,ticker_stocks_yf,ticker_stocks,secteur_activite,pays_stocks,place_boursiere,capitalisation_boursiere,nom_indice,ticker_indice_yf,nombres_entreprises,ponderation
3M Company,MMM,MMM,Industrials,United States,NYQ,83429900288.0,S&P 500,^GSPC,503,0.12
A.O. Smith Corporation,AOS,AOS,Industrials,United States,NYQ,8564670464.0,S&P 500,^GSPC,503,0.01
Abbott Laboratories,ABT,ABT,Healthcare,United States,NYQ,160560332800.0,S&P 500,^GSPC,503,0.22
AbbVie Inc.,ABBV,ABBV,Healthcare,United States,NYQ,443571011584.0,S&P 500,^GSPC,503,0.61
Accenture plc,ACN,ACN,Technology,Ireland,NYQ,80243965952.0,S&P 500,^GSPC,503,0.11
Adobe Inc.,ADBE,ADBE,Technology,United States,NMS,83864551424.0,S&P 500,^GSPC,503,0.12
"Advanced Micro Devices, Inc.",AMD,AMD,Technology,United States,NMS,881959239680.0,S&P 500,^GSPC,503,1.22
The AES Corporation,AES,AES,Utilities,United States,NYQ,10440629248.0,S&P 500,^GSPC,503,0.01
AFLAC Incorporated,AFL,AFL,Financial Services,United States,NYQ,60309618688.0,S&P 500,^GSPC,503,0.08
"Agilent Technologies, Inc.",A,A,Healthcare,United States,NYQ,37673594880.0,S&P 500,^GSPC,503,0.05
"Air Products and Chemicals, Inc",APD,APD,Basic Materials,United States,NYQ,68229361664.0,S&P 500,^GSPC,503,0.09
"Airbnb, Inc.",ABNB,ABNB,Consumer Cyclical,United States,NMS,87429201920.0,S&P 500,^GSPC,503,0.12
"Akamai Technologies, Inc.",AKAM,AKAM,Technology,United States,NMS,16400932864.0,S&P 500,^GSPC,503,0.02
Albemarle Corporation,ALB,ALB,Basic Materials,United States,NYQ,16048546816.0,S&P 500,^GSPC,503,0.02
Alexandria Real Estate Equities,ARE,ARE,Real Estate,United States,NYQ,9238024192.0,S&P 500,^GSPC,503,0.01
"Align Technology, Inc.",ALGN,ALGN,Healthcare,United States,NMS,12997974016.0,S&P 500,^GSPC,503,0.02
Allegion plc,ALLE,ALLE,Industrials,Ireland,NYQ,12025005056.0,S&P 500,^GSPC,503,0.02
Alliant Energy Corporation,LNT,LNT,Utilities,United States,NMS,19574816768.0,S&P 500,^GSPC,503,0.03
Allstate Corporation (The),ALL,ALL,Financial Services,United States,NYQ,62584176640.0,S&P 500,^GSPC,503,0.09
Alphabet Inc.,GOOGL,GOOGL,Communication Services,United States,NMS,4407691313152.0,S&P 500,^GSPC,503,6.1
Alphabet Inc.,GOOG,GOOG,Communication Services,United States,NMS,4367179055104.0,S&P 500,^GSPC,503,6.04
"Altria Group, Inc.",MO,MO,Consumer Defensive,United States,NYQ,119464017920.0,S&P 500,^GSPC,503,0.17
"Amazon.com, Inc.",AMZN,AMZN,Consumer Cyclical,United States,NMS,2599993475072.0,S&P 500,^GSPC,503,3.6
Amcor plc,AMCR,AMCR,Consumer Cyclical,Switzerland,NYQ,20176764928.0,S&P 500,^GSPC,503,0.03
Ameren Corporation,AEE,AEE,Utilities,United States,NYQ,31048765440.0,S&P 500,^GSPC,503,0.04
American Electric Power Company,AEP,AEP,Utilities,United States,NMS,73481388032.0,S&P 500,^GSPC,503,0.1
