short_name_stocks,ticker_stocks_yf,ticker_stocks,secteur_activite,pays_stocks,place_boursiere,capitalisation_boursiere,nom_indice,ticker_indice_yf,nombres_entreprises,ponderation
ABB Ltd,ABB.ST,ABB,Industrials,Switzerland,STO,1868453511168,OMX Stockholm 30,^OMXSPI,30,13.61
Addtech AB ser. B,ADDT-B.ST,ADDT-B,Industrials,Sweden,STO,91786551296,OMX Stockholm 30,^OMXSPI,30,0.67
Alfa Laval AB,ALFA.ST,ALFA,Industrials,Sweden,STO,237993279488,OMX Stockholm 30,^OMXSPI,30,1.73
ASSA ABLOY AB ser. B,ASSA-B.ST,ASSA-B,Industrials,Sweden,STO,380440903680,OMX Stockholm 30,^OMXSPI,30,2.77
AstraZeneca PLC,AZN.ST,AZN,Healthcare,United Kingdom,STO,2816365821952,OMX Stockholm 30,^OMXSPI,30,20.51
Atlas Copco AB ser. A,ATCO-A.ST,ATCO-A,Industrials,Sweden,STO,942793424896,OMX Stockholm 30,^OMXSPI,30,6.87
Boliden AB,BOL.ST,BOL,Basic Materials,Sweden,STO,151689003008,OMX Stockholm 30,^OMXSPI,30,1.1
Epiroc AB ser. A,EPI-A.ST,EPI-A,Industrials,Sweden,STO,314191249408,OMX Stockholm 30,^OMXSPI,30,2.29
EQT AB,EQT.ST,EQT,Financial Services,Sweden,STO,330390503424,OMX Stockholm 30,^OMXSPI,30,2.41
"Ericsson, Telefonab. L M ser. B",ERIC-B.ST,ERIC-B,Technology,Sweden,STO,354052145152,OMX Stockholm 30,^OMXSPI,30,2.58
Essity AB ser. B,ESSITY-B.ST,ESSITY-B,Consumer Defensive,Sweden,STO,187390427136,OMX Stockholm 30,^OMXSPI,30,1.36
Evolution AB,EVO.ST,EVO,Consumer Cyclical,Sweden,STO,133852250112,OMX Stockholm 30,^OMXSPI,30,0.97
Svenska Handelsbanken ser. A,SHB-A.ST,SHB-A,Financial Services,Sweden,STO,287182749696,OMX Stockholm 30,^OMXSPI,30,2.09
"Hennes & Mauritz AB, H & M ser.",HM-B.ST,HM-B,Consumer Cyclical,Sweden,STO,264518991872,OMX Stockholm 30,^OMXSPI,30,1.93
Hexagon AB ser. B,HEXA-B.ST,HEXA-B,Technology,Sweden,STO,217434603520,OMX Stockholm 30,^OMXSPI,30,1.58
"Industrivärden, AB ser. C",INDU-C.ST,INDU-C,Financial Services,Sweden,STO,227783589888,OMX Stockholm 30,^OMXSPI,30,1.66
Investor AB ser. B,INVE-B.ST,INVE-B,Financial Services,Sweden,STO,1227179294720,OMX Stockholm 30,^OMXSPI,30,8.94
Lifco AB ser.B,LIFCO-B.ST,LIFCO-B,Industrials,Sweden,STO,146257641472,OMX Stockholm 30,^OMXSPI,30,1.07
NIBE Industrier AB ser. B,NIBE-B.ST,NIBE-B,Industrials,Sweden,STO,72356626432,OMX Stockholm 30,^OMXSPI,30,0.53
Nordea Bank Abp,NDA-SE.ST,NDA-SE,Financial Services,Finland,STO,630220062720,OMX Stockholm 30,^OMXSPI,30,4.59
SAAB AB ser. B,SAAB-B.ST,SAAB-B,Industrials,Sweden,STO,296921661440,OMX Stockholm 30,^OMXSPI,30,2.16
Sandvik AB,SAND.ST,SAND,Industrials,Sweden,STO,496360521728,OMX Stockholm 30,^OMXSPI,30,3.62
Svenska Cellulosa AB SCA ser. B,SCA-B.ST,SCA-B,Basic Materials,Sweden,STO,69040267264,OMX Stockholm 30,^OMXSPI,30,0.5
Skandinaviska Enskilda Banken s,SEB-A.ST,SEB-A,Financial Services,Sweden,STO,381328982016,OMX Stockholm 30,^OMXSPI,30,2.78
Skanska AB ser. B,SKA-B.ST,SKA-B,Industrials,Sweden,STO,106915569664,OMX Stockholm 30,^OMXSPI,30,0.78
"SKF, AB ser. B",SKF-B.ST,SKF-B,Industrials,Sweden,STO,117950496768,OMX Stockholm 30,^OMXSPI,30,0.86
Swedbank AB ser A,SWED-A.ST,SWED-A,Financial Services,Sweden,STO,407796056064,OMX Stockholm 30,^OMXSPI,30,2.97
Tele2 AB ser. B,TEL2-B.ST,TEL2-B,Communication Services,Sweden,STO,114367406080,OMX Stockholm 30,^OMXSPI,30,0.83
Telia Company AB,TELIA.ST,TELIA,Communication Services,Sweden,STO,178910969856,OMX Stockholm 30,^OMXSPI,30,1.3
"Volvo, AB ser. B",VOLV-B.ST,VOLV-B,Industrials,Sweden,STO,676529504256,OMX Stockholm 30,^OMXSPI,30,4.93
