short_name_cryptos,ticker_cryptos_yf,ticker_cryptos,prix_actuel,capitalisation_boursiere,offre_en_circulation_non_arrondie,offre_en_circulation,ath,maj
Bitcoin,BTC-USD,btc,61246.0,1228028844052,20051062.0,20051062.0,126080.0,2026-07-02
Ethereum,ETH-USD,eth,1649.67,199070447211,120683347.0606021,120683347.1,4946.05,2026-07-02
Tether,USDT-USD,usdt,0.998758,184438537532,184668223282.4394,184668223282.4,1.32,2026-07-02
BNB,BNB-USD,bnb,559.36,75390202546,134782637.31,134782637.3,1369.99,2026-07-02
USDC,USDC-USD,usdc,0.999765,73207273999,73224509372.97868,73224509373.0,1.043,2026-07-02
XRP,XRP-USD,xrp,1.086,67583689084,62241508805.0,62241508805.0,3.65,2026-07-02
Solana,SOL-USD,sol,82.19,47751034561,581014870.1886263,581014870.2,293.31,2026-07-02
TRON,TRX-USD,trx,0.316988,30066818262,94851652918.73157,94851652918.7,0.431288,2026-07-02
Figure Heloc,FIGR_HELOC-USD,figr_heloc,1.036,20097694375,19400348835.668,19400348835.7,1.049,2026-07-02
Hyperliquid,HYPE-USD,hype,64.88,14433788043,222445714.0741414,222445714.1,76.7,2026-07-02
Dogecoin,DOGE-USD,doge,0.074188,11491749578,154901156383.7052,154901156383.7,0.731578,2026-07-02
Rain,RAIN-USD,rain,0.0154505,10228448711,661835858602.2224,661835858602.2,0.01614328,2026-07-02
USDS,USDS-USD,usds,0.999641,10002594336,10006130014.35199,10006130014.4,1.15,2026-07-02
LEO Token,LEO-USD,leo,9.06,8339476874,920279144.9,920279144.9,10.57,2026-07-02
Zcash,ZEC-USD,zec,447.01,7506048950,16791065.7905448,16791065.8,3191.93,2026-07-02
Stellar,XLM-USD,xlm,0.200327,6806929030,33978910038.73876,33978910038.7,0.875563,2026-07-02
WhiteBIT Coin,WBT-USD,wbt,55.19,6519304521,118129023.0,118129023.0,64.11,2026-07-02
Cardano,ADA-USD,ada,0.160069,5963903852,37258288157.74465,37258288157.7,3.09,2026-07-02
Monero,XMR-USD,xmr,311.74,5852227433,18772589.93429045,18772589.9,797.73,2026-07-02
Chainlink,LINK-USD,link,7.65,5721252508,748099970.424884,748099970.4,52.7,2026-07-02
Canton,CC-USD,cc,0.140475,5474141930,38968796854.16617,38968796854.2,0.194152,2026-07-02
USD1,USD1-USD,usd1,0.998325,4622672183,4630427630.682308,4630427630.7,1.025,2026-07-02
Dai,DAI-USD,dai,0.999564,4616181460,4618194737.787936,4618194737.8,1.22,2026-07-02
Gram (prev. Toncoin),GRAM-USD,gram,1.66,4486705343,2704560031.750211,2704560031.8,8.25,2026-07-02
Ethena USDe,USDE-USD,usde,0.998338,4445311387,4452682336.908104,4452682336.9,1.034,2026-07-02
Bitcoin Cash,BCH-USD,bch,216.27,4337453008,20055812.39665078,20055812.4,3785.82,2026-07-02
Litecoin,LTC-USD,ltc,42.97,3323189143,77341926.98347135,77341927.0,410.26,2026-07-02
Hedera,HBAR-USD,hbar,0.073834,3222137204,43639905602.75986,43639905602.8,0.569229,2026-07-02
Circle USYC,USYC-USD,usyc,1.13,3104307106,2751916982.589167,2751916982.6,1.13,2026-07-01
Global Dollar,USDG-USD,usdg,0.999818,3010920280,3011505941.226727,3011505941.2,1.65,2026-07-02
Sui,SUI-USD,sui,0.741677,3004850254,4052334085.342099,4052334085.3,5.35,2026-07-02
Avalanche,AVAX-USD,avax,6.77,2923149478,431771961.1772119,431771961.2,144.96,2026-07-02
LAB,LAB-USD,lab,9.12,2853558840,312542846.0,312542846.0,27.3,2026-07-02
PayPal USD,PYUSD-USD,pyusd,0.999828,2748943816,2749373282.30309,2749373282.3,1.081,2026-07-02
Cronos,CRO-USD,cro,0.055921,2575499633,46056253560.13298,46056253560.1,0.891544,2026-07-02
Shiba Inu,SHIB-USD,shib,4.32e-06,2543935854,589243130397798.1,589243130397798.1,8.616e-05,2026-07-02
NEAR Protocol,NEAR-USD,near,1.95,2528083735,1299771114.0,1299771114.0,20.44,2026-07-02
Tether Gold,XAUT-USD,xaut,4061.72,2489117045,612823.659532,612823.7,5504.62,2026-07-02
BlackRock USD Institutional Digital Liquidity Fund,BUIDL-USD,buidl,1.0,2241895983,2241895982.750448,2241895982.8,1.0,2026-07-02
Ondo US Dollar Yield,USDY-USD,usdy,1.14,2155528047,1899138984.570555,1899138984.6,1.26,2026-07-02
MemeCore,M-USD,m,1.58,2086469589,1319348502.615728,1319348502.6,4.82,2026-07-02
Bittensor,TAO-USD,tao,213.98,2053814832,9597491.0,9597491.0,757.6,2026-07-02
Uniswap,UNI-USD,uni,3.06,1903828506,621171561.5538775,621171561.6,44.92,2026-07-02
World Liberty Financial,WLFI-USD,wlfi,0.058838,1868657632,31774217901.0,31774217901.0,0.331336,2026-07-02
PAX Gold,PAXG-USD,paxg,4062.08,1836668671,452149.973888,452150.0,5619.09,2026-07-02
Aster,ASTER-USD,aster,0.640447,1716528727,2680197404.779776,2680197404.8,2.41,2026-07-02
OKB,OKB-USD,okb,79.85,1676789902,21000000.0,21000000.0,228.74,2026-07-02
Ondo,ONDO-USD,ondo,0.335311,1630925122,4869330647.0,4869330647.0,2.14,2026-07-02
Ripple USD,RLUSD-USD,rlusd,1.0,1576661490,1576369017.460363,1576369017.5,1.073,2026-07-02
HTX DAO,HTX-USD,htx,1.67e-06,1511122325,905707664073577.8,905707664073577.8,3.75e-06,2026-07-02
Mantle,MNT-USD,mnt,0.436637,1441603940,3302294382.53684,3302294382.5,2.86,2026-07-02
Polkadot,DOT-USD,dot,0.850923,1439242760,1691390313.443488,1691390313.4,54.98,2026-07-02
Falcon USD,USDF-USD,usdf,0.995716,1420612267,1426725004.809746,1426725004.8,1.075,2026-07-02
