short_name_etf,ticker_etf_yf,ticker_etf,devise,place_boursiere_etf,volume_moyen,frais_pct
Amundi CAC 40 Daily (-2x) Inver,BX4.PA,BX4,EUR,PAR,14479914.0,0.6
Amundi EURO STOXX 50 Daily (-2x,BXX.PA,BXX,EUR,PAR,2764391.0,0.6
iShares MSCI World Swap PEA UCI,WPEA.PA,WPEA,EUR,PAR,981814.0,0.2
AMUNDI PEA MONDE MSCI World UCI,DCAM.PA,DCAM,EUR,PAR,902668.0,
Amundi ShortDAX Daily (-2x) Inv,DSD.PA,DSD,EUR,PAR,510396.0,0.6
Amundi MSCI Emerging Markets Sw,AEEM.PA,AEEM,EUR,PAR,419884.0,0.2
AMUNDI MSCI USA SCREENED UCITS ,USAS.PA,USAS,EUR,PAR,350592.0,0.05
State Street SPDR MSCI All Coun,IMIE.PA,IMIE,EUR,PAR,342876.0,0.4
Amundi MSCI Greece UCITS ETF Di,GRE.PA,GRE,EUR,PAR,339361.0,0.45
AMUNDI STOXX EUROPE DEFENSE UCI,DEFS.PA,DEFS,EUR,PAR,242759.0,0.35
Amundi CAC 40 Daily (2x) Levera,LVC.PA,LVC,EUR,PAR,229777.0,0.4
Amundi EURO STOXX 50 II UCITS E,MSE.PA,MSE,EUR,PAR,223505.0,0.2
HSBC HANG SENG TECH UCITS ETF,HSTE.PA,HSTE,EUR,PAR,166270.0,0.5
BNP PARIBAS EASY Bloomberg Euro,GUARD.PA,GUARD,EUR,PAR,159067.0,
BNP Paribas Easy Stoxx Europe 6,ETZ.PA,ETZ,EUR,PAR,135128.0,
BNP Paribas Easy S&P 500 UCITS ,ESE.PA,ESE,EUR,PAR,133001.0,
iShares MSCI Global Semiconduct,SEME.PA,SEME,EUR,PAR,120474.0,0.35
Amundi EURO STOXX 50 Daily (-1x,BSX.PA,BSX,EUR,PAR,118360.0,0.4
Amundi MSCI World (2x) Leverage,LWLD.PA,LWLD,EUR,PAR,117145.0,
Amundi CAC 40 Daily (-1x) Inver,SHC.PA,SHC,EUR,PAR,113411.0,0.4
Amundi CAC 40 UCITS ETF Acc,CACC.PA,CACC,EUR,PAR,108786.0,0.25
AMUNDI MSCI WORLD SCREENED UCIT,WLSC.PA,WLSC,EUR,PAR,101531.0,0.2
iSh AI Innovation Active UCITS ,IART.PA,IART,EUR,PAR,94405.0,
BNP PARIBAS EASY MSCI EMU Min T,EEMU.PA,EEMU,EUR,PAR,87431.0,
Amundi MSCI EUROPE SCREENED UCI,EUSC.PA,EUSC,EUR,PAR,85859.0,0.12
BNP Paribas Easy S&P 500 Scored,SPEEU.PA,SPEEU,EUR,PAR,83281.0,
BNP PARIBAS EASY MSCI Emerging ,EEMK.PA,EEMK,EUR,PAR,80581.0,
iShares Global Aerospace & Defe,DFND.PA,DFND,EUR,PAR,75256.0,0.35
Amundi Nasdaq-100 Daily (-1x) I,DSP5.PA,DSP5,EUR,PAR,73246.0,0.6
AMUNDI PEA EURO COURT TERME UCI,OBLI.PA,OBLI,EUR,PAR,73231.0,0.4
Amundi PEA Emergent (MSCI Emerg,PAEEM.PA,PAEEM,EUR,PAR,72950.0,
Amundi Core MSCI EMU UCITS ETF ,MFEC.PA,MFEC,EUR,PAR,72686.0,0.12
iShares MSCI EM ex-China UCITS ,MTPI.PA,MTPI,EUR,PAR,67378.0,0.25
BNP Paribas Easy EURO STOXX 50 ,ETDD.PA,ETDD,EUR,PAR,58421.0,
Amundi PEA Asie Emergente (MSCI,PAASI.PA,PAASI,EUR,PAR,57777.0,
21Shares Lido DAO ETP,LIDO.PA,LIDO,EUR,PAR,56050.0,
Amundi STOXX Europe 600 Banks U,BNK.PA,BNK,EUR,PAR,52274.0,0.3
BNP PARIBAS EASY MSCI Europe Mi,EEUE.PA,EEUE,EUR,PAR,48231.0,
Amundi PEA S&P 500 UCITS ETF Ac,PSP5.PA,PSP5,EUR,PAR,47380.0,0.12
Amundi PEA Nasdaq-100 UCITS ETF,PUST.PA,PUST,EUR,PAR,46885.0,0.3
iShares MSCI USA Swap UCITS ETF,MUSA.PA,MUSA,EUR,PAR,46864.0,0.05
BNP Paribas Easy MSCI Japan Min,EJAP.PA,EJAP,EUR,PAR,46556.0,
AMUNDI MSCI EM LATIN AMERICA UC,ALAT.PA,ALAT,EUR,PAR,43719.0,0.2
Amundi MSCI USA Daily (2x) Leve,CL2.PA,CL2,EUR,PAR,43413.0,
iShares S&P 500 Swap PEA UCITS ,SPEA.PA,SPEA,EUR,PAR,42985.0,
Amundi Smart Overnight Return U,CSH2.PA,CSH2,EUR,PAR,41639.0,0.1
Amundi Stoxx Europe Select Divi,SEL.PA,SEL,EUR,PAR,39872.0,0.3
Amundi MSCI India Swap UCITS ET,INR.PA,INR,EUR,PAR,36718.0,0.85
Amundi EURO STOXX 50 Daily (2x),LVE.PA,LVE,EUR,PAR,35526.0,0.4
VanEck Rare Earth and Strategic,REMX.PA,REMX,EUR,PAR,35128.0,0.59
Amundi Core Stoxx Europe 600 UC,MEUD.PA,MEUD,EUR,PAR,34589.0,0.07
Amundi CAC 40 UCITS ETF Dist,CAC.PA,CAC,EUR,PAR,34259.0,0.25
AMUNDI MSCI SWITZERLAND UCITS E,CSWC.PA,CSWC,CHF,PAR,33553.0,0.25
BNP Paribas Easy JPM ESG EMU Go,JBEM.PA,JBEM,EUR,PAR,33302.0,
Amundi PEA Chine (MSCI China) S,PASI.PA,PASI,EUR,PAR,33298.0,0.65
BNP PARIBAS EASY ESG ENHANCED U,AUSSE.PA,AUSSE,EUR,PAR,31638.0,
BNP PARIBAS EASY ESG ENHANCED J,AJASE.PA,AJASE,EUR,PAR,31545.0,
Amundi Core MSCI Europe UCITS E,CEU2.PA,CEU2,EUR,PAR,31347.0,0.12
Amundi Core EURO STOXX 50 UCITS,C50.PA,C50,EUR,PAR,30514.0,0.09
Amundi Euro Government Green Bo,ERTH.PA,ERTH,EUR,PAR,30329.0,0.2
BNP PARIBAS EASY ESG Enhanced E,AEUSE.PA,AEUSE,EUR,PAR,30055.0,
Amundi Core EUR Corporate Bond ,PRAC.PA,PRAC,EUR,PAR,29690.0,0.07
Amundi CAC 40 UCITS ETF S - Acc,CA40.PA,CA40,EUR,PAR,29399.0,
Amundi Core Nasdaq-100 Swap UCI,UST.PA,UST,EUR,PAR,29394.0,0.22
HSBC MSCI CHINA ETF,CNY.PA,CNY,EUR,PAR,28574.0,0.3
AMUNDI MSCI EM ASIA UCITS ETF -,AASI.PA,AASI,EUR,PAR,27985.0,0.2
VanEck Gold Miners UCITS ETF,GDX.PA,GDX,EUR,PAR,27587.0,0.53
iShares iBonds Dec 2028 Term  C,B28A.PA,B28A,EUR,PAR,27106.0,
Amundi EUR Corporate Bond ESG -,ECRP.PA,ECRP,EUR,PAR,26944.0,0.14
Amundi PEA Inde (MSCI India) UC,PINR.PA,PINR,EUR,PAR,26514.0,0.85
BNP PARIBAS EASY MSCI China Min,CHINE.PA,CHINE,EUR,PAR,26044.0,
Amundi PEA Amerique Latine (MSC,PALAT.PA,PALAT,EUR,PAR,24960.0,
iShares J.P. Morgan EM Local Go,EMGA.PA,EMGA,EUR,PAR,24441.0,0.5
Amundi PEA MSCI Europe UCITS ET,PCEU.PA,PCEU,EUR,PAR,23831.0,
Amundi PEA S&P 500 UCITS ETF EU,PSPH.PA,PSPH,EUR,PAR,22846.0,0.12
Amundi Gold Miners UCITS ETF Di,GLDM.PA,GLDM,EUR,PAR,22548.0,0.65
BNP PARIBAS EASY MSCI USA Min T,ENAM.PA,ENAM,EUR,PAR,22450.0,
Amundi MSCI Semiconductors UCIT,CHIP.PA,CHIP,EUR,PAR,21889.0,0.35
Amundi PEA Asie Pacifique (MSCI,PAEJ.PA,PAEJ,EUR,PAR,21758.0,0.6
Amundi Core S&P 500 Swap UCITS ,SP5.PA,SP5,EUR,PAR,21555.0,0.05
WisdomTree Physical Bitcoin,WBTC.PA,WBTC,EUR,PAR,21510.0,
Amundi MSCI World Swap UCITS ET,EWLD.PA,EWLD,EUR,PAR,21145.0,0.38
Amundi European Strategic Auton,INDEP.PA,INDEP,EUR,PAR,21017.0,0.4
