short_name_stocks,ticker_stocks_yf,ticker_stocks,secteur_activite,pays_stocks,place_boursiere,capitalisation_boursiere,ticker_indice_yf,ponderation
3M Company,MMM,MMM,Industrials,United States,NYQ,83429900288.0,^DJI,0.31
Alphabet Inc.,GOOGL,GOOGL,Communication Services,United States,NMS,4407691313152.0,^DJI,16.3
American Express Company,AXP,AXP,Financial Services,United States,NYQ,237449609216.0,^DJI,0.88
Amgen Inc.,AMGN,AMGN,Healthcare,United States,NMS,195012788224.0,^DJI,0.72
"Amazon.com, Inc.",AMZN,AMZN,Consumer Cyclical,United States,NMS,2599993475072.0,^DJI,9.62
Apple Inc.,AAPL,AAPL,Technology,United States,NMS,4323663937536.0,^DJI,15.99
Boeing Company (The),BA,BA,Industrials,United States,NYQ,172307120128.0,^DJI,0.64
"Caterpillar, Inc.",CAT,CAT,Industrials,United States,NYQ,456635482112.0,^DJI,1.69
Chevron Corporation,CVX,CVX,Energy,United States,NYQ,329987817472.0,^DJI,1.22
"Cisco Systems, Inc.",CSCO,CSCO,Technology,United States,NMS,461187284992.0,^DJI,1.71
Coca-Cola Company (The),KO,KO,Consumer Defensive,United States,NYQ,349748789248.0,^DJI,1.29
Walt Disney Company (The),DIS,DIS,Communication Services,United States,NYQ,166201507840.0,^DJI,0.61
"Goldman Sachs Group, Inc. (The)",GS,GS,Financial Services,United States,NYQ,300792512512.0,^DJI,1.11
"Home Depot, Inc. (The)",HD,HD,Consumer Cyclical,United States,NYQ,349828415488.0,^DJI,1.29
Honeywell International Inc.,HON,HON,Industrials,United States,NMS,70256287744.0,^DJI,0.26
International Business Machines,IBM,IBM,Technology,United States,NYQ,269042171904.0,^DJI,1.0
Johnson & Johnson,JNJ,JNJ,Healthcare,United States,NYQ,611384950784.0,^DJI,2.26
JP Morgan Chase & Co.,JPM,JPM,Financial Services,United States,NYQ,895144361984.0,^DJI,3.31
McDonald's Corporation,MCD,MCD,Consumer Cyclical,United States,NYQ,191431589888.0,^DJI,0.71
"Merck & Company, Inc.",MRK,MRK,Healthcare,United States,NYQ,309641904128.0,^DJI,1.15
Microsoft Corporation,MSFT,MSFT,Technology,United States,NMS,2854599000064.0,^DJI,10.56
"Nike, Inc.",NKE,NKE,Consumer Cyclical,United States,NYQ,63766999040.0,^DJI,0.24
NVIDIA Corporation,NVDA,NVDA,Technology,United States,NMS,4785584996352.0,^DJI,17.7
Procter & Gamble Company (The),PG,PG,Consumer Defensive,United States,NYQ,343305355264.0,^DJI,1.27
"Salesforce, Inc.",CRM,CRM,Technology,United States,NYQ,133685362688.0,^DJI,0.49
Sherwin-Williams Company (The),SHW,SHW,Basic Materials,United States,NYQ,85348253696.0,^DJI,0.32
"The Travelers Companies, Inc.",TRV,TRV,Financial Services,United States,NYQ,71155163136.0,^DJI,0.26
UnitedHealth Group Incorporated,UNH,UNH,Healthcare,United States,NYQ,387359899648.0,^DJI,1.43
Visa Inc.,V,V,Financial Services,United States,NYQ,667664187392.0,^DJI,2.47
Walmart Inc.,WMT,WMT,Consumer Defensive,United States,NMS,865998143488.0,^DJI,3.2
Adobe Inc.,ADBE,ADBE,Technology,United States,NMS,83864551424.0,^NDX,0.21
"Advanced Micro Devices, Inc.",AMD,AMD,Technology,United States,NMS,881959239680.0,^NDX,2.23
"Airbnb, Inc.",ABNB,ABNB,Consumer Cyclical,United States,NMS,87429201920.0,^NDX,0.22
"Alnylam Pharmaceuticals, Inc.",ALNY,ALNY,Healthcare,United States,NMS,40276742144.0,^NDX,0.1
Alphabet Inc.,GOOGL,GOOGL,Communication Services,United States,NMS,4407691313152.0,^NDX,11.14
"Amazon.com, Inc.",AMZN,AMZN,Consumer Cyclical,United States,NMS,2599993475072.0,^NDX,6.57
American Electric Power Company,AEP,AEP,Utilities,United States,NMS,73481388032.0,^NDX,0.19
Amgen Inc.,AMGN,AMGN,Healthcare,United States,NMS,195012788224.0,^NDX,0.49
"Analog Devices, Inc.",ADI,ADI,Technology,United States,NMS,189467115520.0,^NDX,0.48
Apple Inc.,AAPL,AAPL,Technology,United States,NMS,4323663937536.0,^NDX,10.92
"Applied Materials, Inc.",AMAT,AMAT,Technology,United States,NMS,516796121088.0,^NDX,1.31
Applovin Corporation,APP,APP,Communication Services,United States,NMS,189674815488.0,^NDX,0.48
Arm Holdings plc,ARM,ARM,Technology,United Kingdom,NMS,360444559360.0,^NDX,0.91
